                          table_name                          | table_size | indexes_size | total_size 
 "pg_catalog"."pg_range"                                      | 40 kB      | 16 kB        | 56 kB
 "information_schema"."sql_sizing"                            | 48 kB      | 0 bytes      | 48 kB
 "information_schema"."sql_packages"                          | 48 kB      | 0 bytes      | 48 kB
 "information_schema"."sql_languages"                         | 48 kB      | 0 bytes      | 48 kB
 "information_schema"."sql_implementation_info"               | 48 kB      | 0 bytes      | 48 kB
 "public"."webcapture_rev_url"                                | 16 kB      | 32 kB        | 48 kB
 "public"."fileset_rev_url"                                   | 16 kB      | 32 kB        | 48 kB
 "information_schema"."sql_parts"                             | 48 kB      | 0 bytes      | 48 kB
 "public"."fileset_rev_release"                               | 8192 bytes | 32 kB        | 40 kB
 "public"."fileset_ident"                                     | 8192 bytes | 32 kB        | 40 kB
 "public"."webcapture_rev_release"                            | 8192 bytes | 32 kB        | 40 kB
 "public"."webcapture_ident"                                  | 8192 bytes | 32 kB        | 40 kB
 "pg_catalog"."pg_statistic_ext"                              | 8192 bytes | 24 kB        | 32 kB
 "public"."webcapture_rev"                                    | 16 kB      | 16 kB        | 32 kB
 "public"."fileset_rev"                                       | 16 kB      | 16 kB        | 32 kB
 "public"."__diesel_schema_migrations"                        | 8192 bytes | 16 kB        | 24 kB
 "pg_catalog"."pg_sequence"                                   | 8192 bytes | 16 kB        | 24 kB
 "pg_catalog"."pg_enum"                                       | 0 bytes    | 24 kB        | 24 kB
 "pg_catalog"."pg_subscription"                               | 0 bytes    | 16 kB        | 16 kB
 "pg_catalog"."pg_db_role_setting"                            | 8192 bytes | 8192 bytes   | 16 kB
 "pg_catalog"."pg_inherits"                                   | 0 bytes    | 16 kB        | 16 kB
 "pg_catalog"."pg_event_trigger"                              | 0 bytes    | 16 kB        | 16 kB
 "pg_catalog"."pg_transform"                                  | 0 bytes    | 16 kB        | 16 kB
 "pg_catalog"."pg_shseclabel"                                 | 8192 bytes | 8192 bytes   | 16 kB
 "pg_catalog"."pg_publication"                                | 0 bytes    | 16 kB        | 16 kB
 "pg_catalog"."pg_publication_rel"                            | 0 bytes    | 16 kB        | 16 kB
 "pg_catalog"."pg_seclabel"                                   | 8192 bytes | 8192 bytes   | 16 kB
 "pg_catalog"."pg_default_acl"                                | 0 bytes    | 16 kB        | 16 kB
 "pg_catalog"."pg_replication_origin"                         | 0 bytes    | 16 kB        | 16 kB
 "pg_catalog"."pg_policy"                                     | 0 bytes    | 16 kB        | 16 kB
 "pg_catalog"."pg_foreign_server"                             | 0 bytes    | 16 kB        | 16 kB
 "pg_catalog"."pg_foreign_data_wrapper"                       | 0 bytes    | 16 kB        | 16 kB
 "pg_catalog"."pg_user_mapping"                               | 0 bytes    | 16 kB        | 16 kB
 "pg_catalog"."pg_foreign_table"                              | 0 bytes    | 8192 bytes   | 8192 bytes
 "pg_catalog"."pg_largeobject_metadata"                       | 0 bytes    | 8192 bytes   | 8192 bytes
 "pg_catalog"."pg_partitioned_table"                          | 0 bytes    | 8192 bytes   | 8192 bytes
 "pg_catalog"."pg_subscription_rel"                           | 0 bytes    | 8192 bytes   | 8192 bytes
 "pg_catalog"."pg_largeobject"                                | 0 bytes    | 8192 bytes   | 8192 bytes
 "information_schema"."sql_sizing_profiles"                   | 8192 bytes | 0 bytes      | 8192 bytes
 "pg_catalog"."pg_stat_xact_user_tables"                      | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_statio_all_tables"                          | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_statio_sys_tables"                          | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_statio_user_tables"                         | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_all_indexes"                           | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_sys_indexes"                           | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_user_indexes"                          | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_statio_user_indexes"                        | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_statio_all_sequences"                       | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_statio_sys_sequences"                       | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_statio_user_sequences"                      | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_activity"                              | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_replication"                           | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_wal_receiver"                          | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_subscription"                          | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_ssl"                                   | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_replication_slots"                          | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_database"                              | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_database_conflicts"                    | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_user_functions"                        | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_xact_user_functions"                   | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_archiver"                              | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_bgwriter"                              | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_progress_vacuum"                       | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_user_mappings"                              | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."key_column_usage"                      | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."information_schema_catalog_name"       | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."column_privileges"                     | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."applicable_roles"                      | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."administrable_role_authorizations"     | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."domain_udt_usage"                      | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."attributes"                            | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."column_udt_usage"                      | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."character_sets"                        | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."check_constraint_routine_usage"        | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."check_constraints"                     | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."columns"                               | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."collations"                            | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."collation_character_set_applicability" | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."column_domain_usage"                   | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."constraint_column_usage"               | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."domains"                               | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."constraint_table_usage"                | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."domain_constraints"                    | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."referential_constraints"               | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."enabled_roles"                         | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."parameters"                            | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."routine_privileges"                    | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."role_column_grants"                    | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."role_routine_grants"                   | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."routines"                              | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."schemata"                              | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."table_constraints"                     | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."sequences"                             | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_group"                                      | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_sys_tables"                            | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."table_privileges"                      | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_xact_all_tables"                       | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_stat_all_tables"                            | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_timezone_names"                             | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."triggers"                              | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_timezone_abbrevs"                           | 0 bytes    | 0 bytes      | 0 bytes
 "information_schema"."role_table_grants"                     | 0 bytes    | 0 bytes      | 0 bytes
 "pg_catalog"."pg_matviews"                                   | 0 bytes    | 0 bytes      | 0 bytes
